,PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,IsPUD,IsNearNegativeCondition,IsNearPositiveCondition,NumFloors,Collapse_MSSubClass,Combine_BathroomsBsmt,Combine_BathroomsAbvGrd,AllBathrooms,Combine_Age,IsRenovated,LogSalePrice
10,528186170,1342,219500,Dwelling_120,RL,48,6240,2,0,4,Lvl,4,Inside,3,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2007,Hip,CompShg,MetalSd,MetalSd,BrkFace,196,4,3,PConc,4,3,1,6,24,1,0,1318,1342,GasA,5,Y,SBrkr,1342,0,0,0,0,2,0,2,1,4,6,8,1,4,Attchd,2007,RFn,2,550,3,3,3,0,35,0,0,0,0,0,NoFence,NoMisc,0,February,Yr_2008,WD ,Normal,TRUE,FALSE,FALSE,1,Traditional,0,2,2,1,TRUE,12.29910751
11,923426070,1274,136000,Dwelling_60,RL,63,10475,2,0,4,Lvl,4,Inside,3,Mitchel,Norm,Norm,1Fam,2Story,5,5,1991,1991,Gable,CompShg,HdBoard,HdBoard,None,0,3,3,PConc,4,3,1,3,458,1,0,166,624,GasA,4,Y,SBrkr,624,650,0,0,0,1,1,3,1,3,6,8,0,0,Detchd,1993,Unf,2,576,3,3,3,22,0,0,0,0,0,0,GdWo,NoMisc,0,March,Yr_2010,WD ,Normal,FALSE,FALSE,FALSE,2,Traditional,0,1.5,1.5,19,FALSE,11.82041016
12,902204080,861,80000,Dwelling_30,RM,62,7404,2,0,4,Lvl,4,Corner,3,OldTown,Norm,Norm,1Fam,1Story,4,6,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,BrkTil,2,3,1,1,0,1,0,861,861,GasA,3,Y,SBrkr,861,0,0,0,0,1,0,2,1,3,5,8,0,0,Detchd,1920,Unf,2,288,3,3,1,0,0,128,0,0,0,0,NoFence,NoMisc,0,November,Yr_2009,Oth,Normal,FALSE,FALSE,FALSE,1,Traditional,0,1,1,59,TRUE,11.28978191
13,535105100,1394,159000,Dwelling_20,RL,74,9500,2,0,3,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,6,5,1963,1963,Gable,CompShg,Plywood,Plywood,BrkFace,247,3,3,CBlock,4,3,1,4,609,1,0,785,1394,GasA,4,Y,SBrkr,1394,0,0,1,0,1,1,3,1,3,6,8,2,4,Attchd,1963,RFn,2,514,3,3,3,0,76,0,0,185,0,0,NoFence,NoMisc,0,July,Yr_2009,WD ,Normal,FALSE,FALSE,FALSE,1,Traditional,1,1.5,2.5,46,FALSE,11.97665948
14,907405020,1536,214000,Dwelling_20,RL,70,9135,2,0,4,Lvl,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,113,4,3,PConc,4,3,3,6,810,1,0,726,1536,GasA,5,Y,SBrkr,1536,0,0,1,0,2,0,3,1,4,7,8,0,0,Attchd,2002,RFn,2,532,3,3,3,192,74,0,0,0,0,0,NoFence,NoMisc,0,December,Yr_2008,WD ,Normal,FALSE,FALSE,FALSE,1,Traditional,1,2,3,5,TRUE,12.27373129
15,531382110,1680,163000,Dwelling_60,RL,50,8480,2,0,3,Lvl,4,Inside,3,SawyerW,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,BrkFace,120,4,3,PConc,4,3,1,6,602,1,0,284,886,GasA,5,Y,SBrkr,886,794,0,0,1,2,1,3,1,4,7,8,0,0,Attchd,1993,RFn,2,474,3,3,3,144,96,0,0,0,0,0,NoFence,NoMisc,0,October,Yr_2008,WD ,Normal,FALSE,FALSE,FALSE,2,Traditional,0.5,2.5,3,14,TRUE,12.00150548
16,906380120,1274,203000,Dwelling_20,RL,68,8814,2,0,4,Lvl,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,80,4,3,PConc,4,3,1,6,925,1,0,349,1274,GasA,5,Y,SBrkr,1274,0,0,1,0,2,0,3,1,4,6,8,0,0,Attchd,2005,RFn,2,508,3,3,3,264,98,0,0,0,0,0,NoFence,NoMisc,0,January,Yr_2007,New,Partial,FALSE,FALSE,FALSE,1,Traditional,1,2,3,0,TRUE,12.22096126
17,909101060,864,67000,Dwelling_30,RL,45,8248,2,1,4,Lvl,4,Inside,3,Edwards,Norm,Norm,1Fam,1Story,3,3,1914,1950,Gable,CompShg,Stucco,Stucco,None,0,3,3,BrkTil,3,3,1,4,41,1,0,823,864,GasA,3,N,FuseF,864,0,0,1,0,1,0,2,1,3,5,8,0,0,NoGarage,1914,NoGarage,0,0,0,0,1,0,0,100,0,0,0,0,NoFence,NoMisc,0,September,Yr_2008,WD ,Normal,FALSE,FALSE,FALSE,1,Traditional,1,1,2,58,TRUE,11.1124479
18,534152050,1610,205000,Dwelling_20,RL,74,10603,2,0,3,Lvl,4,Inside,3,NWAmes,Norm,Norm,1Fam,1Story,6,7,1977,2001,Gable,CompShg,Plywood,Plywood,BrkFace,28,3,3,PConc,3,3,2,5,1200,1,0,410,1610,GasA,4,Y,SBrkr,1610,0,0,1,0,2,0,3,1,4,6,8,2,3,Attchd,1977,RFn,2,480,3,3,3,168,68,0,0,0,0,0,NoFence,NoMisc,0,February,Yr_2010,WD ,Normal,FALSE,FALSE,FALSE,1,Traditional,1,2,3,9,TRUE,12.23076526
19,923252075,1091,131250,Dwelling_80,RL,62,7706,2,0,4,Lvl,4,Inside,3,Mitchel,Norm,Norm,1Fam,SLvl,6,5,1993,1996,Gable,CompShg,HdBoard,HdBoard,None,0,3,4,CBlock,4,3,3,3,114,6,270,0,384,GasA,5,Y,SBrkr,1091,0,0,0,1,1,0,2,1,3,5,8,0,0,Attchd,1993,Fin,1,429,3,3,3,280,0,0,0,0,0,0,NoFence,Shed,700,August,Yr_2009,WD ,Normal,FALSE,FALSE,FALSE,2,Split,0.5,1,1.5,13,TRUE,11.78485918
20,531376060,1486,181000,Dwelling_20,RL,65,7441,2,0,3,Lvl,4,Inside,3,SawyerW,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,170,4,3,PConc,4,3,1,1,0,1,0,1461,1461,GasA,5,Y,SBrkr,1486,0,0,0,0,2,0,3,1,4,7,8,0,0,Attchd,2006,RFn,2,566,3,3,3,0,32,0,0,0,0,0,NoFence,NoMisc,0,June,Yr_2007,WD ,Normal,FALSE,FALSE,FALSE,1,Traditional,0,2,2,1,FALSE,12.10625231
21,902201120,789,115000,Dwelling_20,RM,50,6000,2,0,4,Lvl,4,Inside,3,OldTown,Norm,Norm,1Fam,1Story,5,5,1948,1950,Gable,CompShg,VinylSd,VinylSd,None,0,3,3,CBlock,3,3,1,5,104,4,169,516,789,GasA,5,Y,SBrkr,789,0,0,0,0,1,0,2,1,3,5,8,0,0,Detchd,1948,Unf,1,250,3,3,3,0,0,0,0,0,0,0,NoFence,NoMisc,0,April,Yr_2008,WD ,Partial,FALSE,FALSE,FALSE,1,Traditional,0,1,1,58,TRUE,11.65268741
22,923228080,1092,98000,Dwelling_160,RM,21,1477,2,0,4,Lvl,4,Inside,3,MeadowV,Norm,Norm,Twnhs,2Story,6,9,1970,2007,Gable,CompShg,CemntBd,CmentBd,None,0,3,4,CBlock,3,3,1,6,358,1,0,188,546,GasA,5,Y,SBrkr,546,546,0,0,0,2,1,3,1,3,6,8,0,0,NoGarage,1970,NoGarage,0,0,0,0,3,187,0,0,0,0,0,0,NoFence,NoMisc,0,March,Yr_2008,WD ,Normal,TRUE,FALSE,FALSE,2,Traditional,0,2.5,2.5,1,TRUE,11.49272276
23,902326030,2640,265979,Dwelling_70,RM,65,11700,2,2,3,Lvl,4,Corner,3,OldTown,Norm,Norm,1Fam,2Story,7,7,1880,2003,Mansard,CompShg,Stucco,Stucco,None,0,4,3,Stone,3,2,1,1,0,1,0,1240,1240,GasW,3,N,SBrkr,1320,1320,0,0,0,1,1,4,1,4,8,8,1,4,Detchd,1950,Unf,4,864,3,3,1,181,0,386,0,0,0,0,NoFence,NoMisc,0,May,Yr_2009,WD ,Normal,FALSE,FALSE,FALSE,2,Traditional,0,1.5,1.5,6,TRUE,12.49117264
24,527451330,1092,105500,Dwelling_160,RM,21,1680,2,0,4,Lvl,4,Inside,3,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492,3,3,CBlock,3,3,1,3,300,1,0,225,525,GasA,3,Y,SBrkr,525,567,0,0,0,1,1,3,1,3,6,8,0,0,Detchd,1997,Unf,1,320,3,3,3,0,0,0,0,0,0,0,NoFence,NoMisc,0,March,Yr_2010,WD ,Normal,TRUE,FALSE,FALSE,2,Traditional,0,1.5,1.5,39,FALSE,11.56646623
25,528218100,1458,168165,Dwelling_60,RL,58,13204,2,0,3,Lvl,4,Inside,3,Gilbert,RRAn,Norm,1Fam,2Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,44,3,3,PConc,4,3,1,1,0,1,0,608,608,GasA,5,Y,SBrkr,608,850,0,0,0,2,0,3,1,4,6,8,0,0,BuiltIn,2007,Fin,2,454,3,3,3,100,33,0,0,0,0,0,NoFence,NoMisc,0,May,Yr_2007,New,Partial,FALSE,TRUE,FALSE,2,Traditional,0,2,2,0,TRUE,12.03270092
26,916386140,1466,201000,Dwelling_20,RL,73,8925,2,0,3,HLS,4,Inside,3,Timber,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0,4,3,PConc,4,3,3,6,16,1,0,1450,1466,GasA,5,Y,SBrkr,1466,0,0,0,0,2,0,3,1,4,7,8,0,0,Attchd,2007,Fin,3,610,3,3,3,100,18,0,0,0,0,0,NoFence,NoMisc,0,July,Yr_2009,WD ,Normal,FALSE,FALSE,FALSE,1,Traditional,0,2,2,2,FALSE,12.21106019
27,533221090,1573,177500,Dwelling_160,FV,66,2117,2,0,4,Lvl,4,Inside,3,Somerst,Norm,Norm,Twnhs,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,216,4,3,PConc,4,3,1,6,378,1,0,378,756,GasA,5,Y,SBrkr,769,804,0,0,0,2,1,3,1,4,5,8,0,0,Detchd,2000,Unf,2,440,3,3,3,0,32,0,0,0,0,0,NoFence,NoMisc,0,June,Yr_2010,WD ,Normal,TRUE,FALSE,FALSE,2,Traditional,0,2.5,2.5,10,FALSE,12.08672589
28,534128010,2090,200000,Dwelling_60,RL,74,10382,2,0,3,Lvl,4,Corner,3,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240,3,3,CBlock,4,3,2,5,859,4,32,216,1107,GasA,5,Y,SBrkr,1107,983,0,1,0,2,1,3,1,3,7,8,2,3,Attchd,1973,RFn,2,484,3,3,3,235,204,228,0,0,0,0,NoFence,Shed,350,November,Yr_2009,WD ,Normal,FALSE,FALSE,TRUE,2,Traditional,1,2.5,3.5,36,FALSE,12.20607265
29,528106110,2046,450000,Dwelling_20,RL,105,15431,2,0,4,Lvl,4,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,10,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,400,5,3,PConc,5,3,4,6,1430,1,0,564,1994,GasA,5,Y,SBrkr,2046,0,0,1,0,2,1,2,1,5,7,8,2,4,Attchd,2005,Fin,3,878,3,3,3,188,65,0,0,175,0,0,NoFence,NoMisc,0,August,Yr_2007,WD ,Normal,FALSE,FALSE,FALSE,1,Traditional,1,2.5,3.5,1,TRUE,13.01700286
30,902206260,886,91300,Dwelling_30,RM,50,5784,2,0,4,Lvl,4,Inside,3,OldTown,Artery,Norm,1Fam,1Story,5,8,1938,1996,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,BrkTil,2,3,1,1,0,1,0,190,190,GasA,4,Y,FuseA,886,0,0,0,0,1,0,2,1,3,4,8,0,0,Attchd,1938,Unf,1,273,3,3,3,144,20,80,0,0,0,0,NoFence,NoMisc,0,December,Yr_2009,WD ,Normal,FALSE,TRUE,FALSE,1,Traditional,0,1,1,13,TRUE,11.42190607
31,528222090,1258,173500,Dwelling_20,RL,64,7697,2,0,4,Lvl,4,Inside,3,Gilbert,Norm,Norm,1Fam,1Story,7,6,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,0,4,3,PConc,4,3,1,1,0,1,0,1246,1246,GasA,5,Y,SBrkr,1258,0,0,0,0,2,0,3,1,4,6,8,0,0,Attchd,2007,RFn,2,462,3,3,3,0,0,0,0,0,0,0,NoFence,NoMisc,0,August,Yr_2007,New,Partial,FALSE,FALSE,FALSE,1,Traditional,0,2,2,0,FALSE,12.06393288
32,528218150,1324,199500,Dwelling_20,RL,100,18494,2,0,3,Lvl,4,Corner,3,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0,4,3,PConc,4,3,1,1,0,1,0,1324,1324,GasA,5,Y,SBrkr,1324,0,0,0,0,2,0,3,1,4,6,8,0,0,Attchd,2005,Fin,2,430,3,3,3,36,23,0,0,0,0,0,NoFence,NoMisc,0,January,Yr_2010,WD ,Normal,FALSE,FALSE,FALSE,1,Traditional,0,2,2,5,FALSE,12.20356952
33,903400180,1848,207000,Dwelling_50,RL,64,13053,2,2,4,Bnk,4,Inside,3,BrkSide,Norm,Norm,1Fam,1.5Fin,6,7,1923,2000,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,BrkTil,3,3,1,1,0,1,0,833,833,GasA,4,Y,SBrkr,1053,795,0,0,0,1,1,4,1,4,8,8,1,4,Detchd,1922,Unf,2,370,3,3,1,0,0,0,0,220,0,0,NoFence,NoMisc,0,June,Yr_2008,WD ,Normal,FALSE,FALSE,FALSE,1.5,Traditional,0,1.5,1.5,8,TRUE,12.24047407
34,535453210,1269,155000,Dwelling_20,RL,70,7931,2,0,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1960,1960,Gable,CompShg,BrkFace,Wd Sdng,None,0,3,3,CBlock,3,3,1,4,374,2,532,363,1269,GasA,3,Y,FuseA,1269,0,0,0,0,1,1,3,1,3,6,8,1,2,Detchd,1964,Unf,1,308,3,3,3,0,0,0,0,0,0,0,NoFence,NoMisc,0,June,Yr_2008,WD ,Normal,FALSE,FALSE,FALSE,1,Traditional,0,1.5,1.5,48,FALSE,11.9511804
35,916386010,1346,220000,Dwelling_20,RL,88,11896,2,0,3,Lvl,4,Corner,3,Timber,Norm,Norm,1Fam,1Story,7,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,60,4,3,PConc,4,3,1,6,78,1,0,1258,1336,GasA,5,Y,SBrkr,1346,0,0,1,0,2,0,3,1,4,6,8,1,3,Attchd,2008,Fin,3,660,3,3,3,100,48,0,0,0,0,0,NoFence,NoMisc,0,May,Yr_2010,WD ,Normal,FALSE,FALSE,FALSE,1,Traditional,1,2,3,2,FALSE,12.30138283
36,907181090,1749,196000,Dwelling_60,RL,68,9272,2,0,3,Lvl,4,Inside,3,CollgCr,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0,4,3,PConc,4,3,1,6,500,1,0,342,842,GasA,5,Y,SBrkr,856,893,0,0,0,2,1,3,1,4,7,8,0,0,Attchd,1999,RFn,2,515,3,3,3,140,85,0,0,0,0,0,NoFence,NoMisc,0,June,Yr_2006,WD ,Normal,FALSE,FALSE,FALSE,2,Traditional,0,2.5,2.5,7,FALSE,12.18586994
37,902206020,492,61500,Dwelling_30,RM,52,7830,2,0,4,Lvl,4,Inside,3,OldTown,Norm,Norm,1Fam,1Story,3,5,1921,1950,Gable,CompShg,AsbShng,AsbShng,None,0,3,3,BrkTil,2,3,1,2,416,1,0,76,492,GasA,3,Y,SBrkr,492,0,0,1,0,1,0,1,1,3,3,8,0,0,Detchd,1921,Unf,1,200,2,3,1,0,0,78,0,0,0,0,NoFence,NoMisc,0,June,Yr_2006,WD ,Normal,FALSE,FALSE,FALSE,1,Traditional,1,1,2,56,TRUE,11.02679245
38,527327050,2030,195000,Dwelling_60,RL,74,12046,2,0,3,Lvl,4,Inside,3,NWAmes,Norm,Norm,1Fam,2Story,6,6,1976,1976,Gable,CompShg,Plywood,Plywood,BrkFace,298,3,3,CBlock,3,3,1,2,156,1,0,692,848,GasA,3,Y,SBrkr,1118,912,0,0,0,2,1,4,1,4,8,8,1,3,Attchd,1976,Fin,2,551,3,3,3,0,224,0,0,0,0,0,NoFence,NoMisc,0,June,Yr_2007,WD ,Normal,FALSE,FALSE,FALSE,2,Traditional,0,2.5,2.5,31,FALSE,12.18075484
39,527455250,988,129250,Dwelling_20,RL,65,7150,2,0,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1966,1966,Hip,CompShg,HdBoard,HdBoard,BrkFace,52,3,3,CBlock,3,3,1,4,725,1,0,263,988,GasA,3,Y,SBrkr,988,0,0,1,0,1,0,3,1,3,5,8,0,0,Detchd,1974,Unf,1,360,3,3,3,0,0,0,0,0,0,0,NoFence,NoMisc,0,November,Yr_2007,WD ,Normal,FALSE,FALSE,FALSE,1,Traditional,1,1,2,41,FALSE,11.76950379
40,528326110,2172,291000,Dwelling_60,RL,66,11000,2,0,4,Lvl,4,FR2,3,NoRidge,Norm,Norm,1Fam,2Story,9,5,2000,2000,Hip,CompShg,VinylSd,VinylSd,BrkFace,295,4,3,PConc,5,3,2,1,0,1,0,1519,1519,GasA,5,Y,SBrkr,1533,639,0,0,0,2,1,4,1,5,8,8,1,3,BuiltIn,2000,RFn,3,687,3,3,3,162,153,0,0,0,0,0,NoFence,NoMisc,0,June,Yr_2008,WD ,Normal,FALSE,FALSE,FALSE,2,Traditional,0,2.5,2.5,8,FALSE,12.58107855
41,914452190,1080,134000,Dwelling_20,RL,71,9187,2,0,4,Bnk,4,Corner,3,Mitchel,Norm,Norm,1Fam,1Story,6,5,1983,1983,Gable,CompShg,VinylSd,VinylSd,None,0,3,4,PConc,3,3,1,5,336,1,0,748,1084,GasA,3,Y,SBrkr,1080,0,0,0,0,1,1,3,1,3,5,8,0,0,Attchd,1983,Unf,2,484,3,3,3,120,0,158,0,0,0,0,NoFence,NoMisc,0,June,Yr_2007,WD ,Normal,FALSE,FALSE,FALSE,1,Traditional,0,1.5,1.5,24,FALSE,11.80559508
42,535425060,1312,186000,Dwelling_20,RL,76,11355,2,0,3,Lvl,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,7,7,1958,2001,Gable,Tar&Grv,HdBoard,HdBoard,BrkFace,125,3,3,CBlock,3,3,1,4,637,1,0,675,1312,GasA,5,Y,SBrkr,1312,0,0,0,0,1,1,3,1,3,6,8,1,4,Attchd,1958,RFn,2,495,3,3,3,0,304,144,0,0,0,0,MnPrv,Othr,6500,April,Yr_2008,WD ,Normal,FALSE,FALSE,FALSE,1,Traditional,0,1.5,1.5,7,TRUE,12.13350195
43,532376250,925,133500,Dwelling_20,RL,74,8638,2,0,3,Lvl,4,Inside,3,Sawyer,RRAe,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,HdBoard,HdBoard,None,0,3,3,PConc,3,3,1,5,181,1,0,744,925,GasA,4,Y,SBrkr,925,0,0,1,0,1,0,2,1,3,5,8,0,0,Detchd,1990,Unf,2,484,3,3,3,203,74,0,0,0,0,0,NoFence,NoMisc,0,October,Yr_2006,WD ,Normal,FALSE,TRUE,FALSE,1,Traditional,1,1,2,43,FALSE,11.80185676
